OBJECTID,RESORT,LIFT_NAME,TYPE,CAPACITY,BASE_ELEVATION,TOP_ELEVATION,COUNTY,Shape__Length
40,Park City,Motherlode Express,Detachable Chair,4,7969,9245,Summit,2051.73789062791
41,Park City,Silverlode Express,Detachable Chair,6,7963,9255,Summit,2073.02690918182
42,Park City,King Con Express,Detachable Chair,6,7274,8487,Summit,1729.44123298045
43,Park City,Eagle,Fixed Chair,3,6913,8048,Summit,1393.057298019
44,Park City,Three Kings,Fixed Chair,2,6903,7362,Summit,873.529041108565
45,Park City,First Time,Detachable Chair,4,6909,7175,Summit,731.131605227675
46,Park City,Town Lift,Fixed Chair,3,6995,8172,Summit,2597.04149116443
47,Park City,Bonanza Express,Detachable Chair,6,8136,9242,Summit,2113.21211979563
48,Park City,Thaynes,Fixed Chair,2,8517,9373,Summit,1038.09498194567
49,Park City,Jupiter,Fixed Chair,2,8953,9970,Summit,1291.52304042422
50,Park City,Ninety-Nine 90 Express,Detachable Chair,4,8300,9819,Summit,2020.89894440196
51,Park City,Peak 5,Fixed Chair,4,8300,9308,Summit,1042.79352970929
52,Park City,Day Break,Fixed Chair,3,8412,9219,Summit,1498.23145421672
53,Park City,Dreamscape,Fixed Chair,4,8402,9275,Summit,1319.98384298652
54,Park City,Dreamcatcher,Fixed Chair,4,7766,9281,Summit,1672.99758458689
55,Park City,McConkey's Express,Detachable Chair,6,8501,9678,Summit,2077.57784571064
56,Park City,Pioneer,Fixed Chair,3,8451,9413,Summit,1487.81008563688
57,Park City,Tombstone Express,Detachable Chair,6,7208,8940,Summit,2586.87424453122
58,Deer Valley Resort,Ruby Express,Detachable Chair,4,8340,9052,Summit,954.680269532162
59,Deer Valley Resort,Northside Express,Detachable Chair,4,8156,9045,Summit,1427.82627245781
60,Deer Valley Resort,Quincy Express,Detachable Chair,4,8048,9025,Summit,1577.80597646168
61,Deer Valley Resort,Red Cloud,Fixed Chair,3,8045,8799,Summit,973.175832019271
62,Deer Valley Resort,Silver Strike Express,Detachable Chair,4,8084,9062,Summit,2002.9554922278
63,Deer Valley Resort,Empire Express,Detachable Chair,4,8337,9547,Summit,1846.39724881576
64,Deer Valley Resort,Little Chief,Fixed Chair,3,8340,8507,Summit,315.694082326116
65,Deer Valley Resort,Sterling Express,Detachable Chair,4,8133,9288,Summit,1819.34092620575
66,Deer Valley Resort,Judge,Fixed Chair,3,8051,8232,Summit,262.549594702467
67,Deer Valley Resort,Homestake,Fixed Chair,4,8130,8392,Summit,700.925486728539
68,Deer Valley Resort,Carpenter Express,Detachable Chair,4,7221,8386,Summit,1887.1320558076
69,Deer Valley Resort,Silver Lake Express,Detachable Chair,4,7224,8133,Summit,2566.85776313472
70,Deer Valley Resort,Viking,Fixed Chair,3,8045,8166,Summit,232.654812110761
71,Deer Valley Resort,Wasatch Express,Detachable Chair,4,7923,9301,Summit,1576.34139658436
72,Deer Valley Resort,Crown Point,Fixed Chair,3,7920,8468,Summit,508.933788156747
73,Deer Valley Resort,Sultan Express,Detachable Chair,4,7543,9291,Summit,1842.91443234322
74,Deer Valley Resort,Burns,Fixed Chair,2,7221,7372,Summit,361.141746764194
75,Deer Valley Resort,Snowflake,Fixed Chair,2,7234,7379,Summit,438.828624552767
76,Deer Valley Resort,Jordanelle Express Gondola,Gondola,4,6598,7930,Summit,2039.96777391585
77,Deer Valley Resort,Deer Crest,Fixed Chair,4,7073,7936,Summit,1154.74509412205
